aX,aY,aZ,gX,gY,gZ
-0.210,4.000,-0.976,211.670,143.372,22.156
0.288,4.000,-2.266,192.749,32.898,-216.980
0.114,3.969,-2.516,189.392,-114.441,-386.353
-1.684,-0.170,-0.160,216.553,-250.854,-538.452
-2.224,-3.440,2.201,250.427,-337.341,-571.960
-2.129,-4.000,4.000,190.613,-100.952,-120.789
-0.580,-2.072,1.734,79.163,166.138,69.031
0.122,-0.902,-0.468,-3.296,306.274,96.436
0.510,0.266,-1.729,-6.897,158.691,32.349
0.721,1.110,-2.004,-24.902,6.653,8.118
0.255,1.752,-0.430,-50.049,-127.747,-5.554
-0.117,1.911,0.706,-67.200,-206.238,-26.062
-0.363,1.995,1.330,-92.651,-208.984,-101.562
-0.562,1.997,1.880,-89.783,-175.232,-144.470
-0.471,1.624,1.583,-64.270,-124.573,-178.955
-0.349,1.057,1.110,11.719,-52.368,-186.523
-0.306,0.442,0.955,33.630,-40.894,-163.025
-0.368,-0.137,1.265,38.818,-25.146,-136.292
-0.354,-0.075,1.196,30.701,-2.319,-120.361
-0.265,-0.012,0.927,8.179,21.545,-129.700
-0.032,-0.021,0.569,7.751,11.963,-135.620
0.014,0.076,0.594,19.043,-1.648,-135.071
0.010,0.195,0.718,52.246,-15.869,-132.935
-0.011,0.310,0.834,70.313,-12.634,-136.536
-0.051,0.295,0.950,82.092,-7.324,-143.250
-0.071,0.280,1.004,87.219,-2.319,-148.560
-0.056,0.311,0.943,85.083,4.456,-153.442
-0.031,0.564,0.808,82.642,0.488,-155.457
-0.024,0.668,0.738,87.708,-5.310,-162.109
-0.017,0.576,0.742,108.582,-20.752,-182.312
-0.025,0.281,0.854,111.633,-23.743,-181.152
-0.016,-0.326,1.252,103.699,-18.616,-164.612
0.014,-0.060,1.247,88.318,-4.700,-139.709
0.081,0.196,1.036,47.791,23.437,-135.925
0.226,-0.054,0.710,33.325,22.766,-147.217
0.282,-0.278,0.653,30.762,15.564,-148.926
0.327,-0.533,0.674,36.072,-3.662,-121.887
0.351,-0.697,0.754,36.438,-7.874,-97.656
0.375,-0.654,0.689,28.748,-8.423,-75.928
0.358,-0.591,0.600,9.888,-9.888,-60.486
0.329,-0.427,0.455,-28.625,-17.639,-48.950
0.254,-0.153,0.165,-37.231,-29.358,-55.359
0.212,-0.177,0.122,-38.330,-45.349,-65.796
0.191,-0.254,0.057,-21.545,-74.646,-75.439
0.185,-0.221,-0.062,-14.465,-88.928,-75.806
0.194,0.208,-0.428,-18.066,-106.262,-84.351
0.157,0.396,-0.494,-30.579,-130.859,-103.821
0.057,0.513,-0.365,-38.391,-195.984,-156.433
-0.184,-0.627,0.451,-39.490,-224.976,-174.622
-0.261,-1.396,1.136,-43.335,-243.408,-158.203
-0.307,-1.308,1.642,-26.367,-213.135,-37.659
-0.354,-0.705,1.886,-41.565,-178.345,-4.211
-0.452,0.152,1.998,-68.604,-141.602,-2.014
-0.439,0.092,1.796,-89.661,-108.521,-16.724
-0.419,-0.214,1.639,-101.074,-85.999,-25.330
-0.487,-0.651,1.592,-82.581,-83.313,-5.188
-0.553,-0.804,1.715,-54.565,-79.529,22.583
-0.609,-0.767,1.920,-12.573,-60.425,86.914
-0.630,-0.468,2.043,-16.479,-35.522,106.079
-0.535,0.020,1.680,-37.476,-8.057,106.323
-0.448,-0.177,1.324,-61.646,9.583,94.666
-0.384,-0.609,1.073,-75.134,5.066,104.004
-0.418,-0.986,0.948,-64.514,-4.761,141.235
-0.483,-0.786,0.939,-55.786,-13.489,186.829
-0.568,-0.538,0.924,-70.496,-24.841,256.165
-0.675,-0.188,1.000,-67.993,-21.301,272.278
-0.733,0.625,1.104,-53.223,-4.700,267.639
-0.679,0.784,0.978,-43.396,17.029,244.934
-0.622,0.766,0.829,-51.941,36.743,194.397
-0.538,0.768,0.661,-46.204,33.142,183.533
-0.498,0.902,0.658,-23.560,24.414,177.856
-0.481,0.976,0.794,21.301,-0.549,156.311
-0.496,0.969,1.041,38.635,-3.540,142.456
-0.535,0.731,1.510,54.687,2.319,131.409
-0.560,0.673,1.697,59.753,11.719,126.953
-0.294,1.552,0.984,-99.792,168.335,-23.010
-0.393,1.574,0.181,-135.620,197.632,-52.673
-0.350,1.459,-0.690,-189.758,160.400,-103.210
0.331,0.960,-2.643,-175.049,112.976,-122.437
0.933,-0.122,-3.732,-92.285,67.261,-143.311
1.345,-1.189,-4.000,212.769,-101.868,-49.194
1.194,-1.122,-4.000,325.378,-229.553,51.758
-0.150,-0.271,1.089,327.881,-328.369,126.343
-0.849,0.874,3.952,234.802,-314.148,186.401
-1.237,2.231,4.000,26.184,-30.151,122.009
-0.568,1.086,3.765,-86.487,45.044,11.108
-0.088,0.265,2.530,-191.284,89.661,-44.067
0.202,0.163,0.899,-247.314,149.353,-4.150
0.331,0.447,-0.421,-248.352,135.071,15.808
0.326,0.816,-1.640,-248.413,107.300,19.287
0.275,0.818,-1.925,-226.746,81.116,15.442
0.184,0.827,-2.159,-125.122,36.987,14.282
-0.010,0.954,-2.143,-98.877,5.249,19.287
-0.056,0.968,-1.920,-87.402,-28.625,22.827
-0.097,1.011,-1.747,-58.411,-76.599,21.118
-0.119,1.023,-1.680,-51.514,-95.703,14.709
-0.083,0.894,-1.296,-74.646,-115.234,11.230
-0.077,0.843,-1.076,-115.051,-129.761,12.268
-0.059,0.761,-0.833,-122.375,-142.944,17.944
-0.067,0.781,-0.483,-86.487,-136.536,21.790
-0.115,0.896,-0.578,-52.490,-125.000,24.109
-0.152,1.014,-0.675,-59.814,-129.150,22.400
-0.155,1.074,-0.686,-76.294,-142.700,18.250
-0.022,0.975,-0.175,-75.806,-152.527,15.442
0.058,0.966,0.086,-55.176,-148.315,15.076
0.112,0.933,0.123,31.433,-112.793,10.559
0.155,0.870,0.025,45.959,-106.018,13.184
0.172,0.882,0.182,27.832,-108.826,19.958
0.196,0.904,0.395,-10.681,-101.013,29.846
0.218,0.947,0.521,-5.127,-84.045,29.785
0.226,0.957,0.232,8.606,-67.505,26.978
0.235,0.920,0.070,14.587,-60.242,24.841
0.241,0.917,0.026,1.709,-59.631,27.710
0.247,0.888,-0.089,-0.183,-56.519,28.809
0.256,0.861,-0.100,3.174,-54.565,29.053
0.237,0.891,-0.103,4.944,-50.171,26.733
0.205,0.921,-0.140,-5.005,-47.546,22.461
0.210,0.870,-0.279,-21.973,-45.105,18.066
0.242,0.833,-0.400,-39.307,-43.579,14.648
0.283,0.791,-0.447,-48.645,-48.279,11.658
0.364,0.634,-0.364,-38.269,-49.011,12.268
0.383,0.557,-0.296,-23.376,-46.692,15.320
0.380,0.494,-0.268,-1.221,-41.321,26.123
0.359,0.451,-0.234,-5.066,-44.983,33.020
0.344,0.271,0.045,-17.334,-50.781,40.100
0.376,0.065,0.262,-27.588,-53.894,49.316
0.386,-0.095,0.502,-11.597,-38.757,80.872
0.277,-0.341,0.646,14.221,-24.170,98.999
