Motion detected, recording started...
aX, aY, aZ, gX, gY, gZ
Recording complete. Printing data...
aX,aY,aZ,gX,gY,gZ
-0.426,1.008,-0.734,158.997,-189.819,24.597
-0.360,0.891,-0.746,131.104,-247.070,13.489
-0.394,0.821,-0.612,-3.174,-377.747,53.711
-0.564,0.840,-0.370,-28.687,-431.702,80.750
-1.103,0.919,0.163,-31.799,-466.553,91.003
-1.335,0.887,0.369,-27.466,-473.572,88.013
-1.499,0.760,0.495,-37.170,-406.494,72.205
-1.121,0.798,0.665,-38.452,-367.920,96.863
-0.818,1.124,0.810,-42.419,-347.473,139.160
-0.658,1.501,0.967,20.935,-282.471,157.410
-0.551,1.797,1.046,70.251,-218.018,100.708
-0.492,1.641,0.918,105.164,-158.325,14.038
-0.461,1.249,0.789,127.625,-113.342,-69.092
-0.445,0.835,0.650,72.998,-74.219,-140.869
-0.456,0.293,0.577,19.104,-79.529,-124.573
-0.448,0.260,0.649,-19.714,-88.135,-83.923
-0.433,0.379,0.725,-62.012,-77.148,7.019
-0.413,0.577,0.765,-73.181,-60.120,32.227
-0.333,0.915,0.795,-82.458,-44.434,41.565
-0.295,1.018,0.835,-94.177,-31.860,40.466
-0.289,1.084,0.862,-107.178,4.456,20.996
-0.363,1.042,0.741,-102.478,31.738,3.052
-0.399,0.925,0.633,-97.656,59.143,-15.198
-0.412,0.820,0.521,-96.069,100.586,-23.071
-0.409,0.770,0.440,-108.276,111.450,-15.869
-0.458,0.780,0.416,-125.549,122.009,-7.568
-0.501,0.819,0.395,-134.033,139.343,-0.183
-0.548,0.855,0.321,-119.507,193.237,1.892
-0.669,0.837,0.092,-103.882,219.604,-1.221
-0.716,0.801,0.017,-93.872,239.624,-1.770
-0.772,0.785,-0.014,-58.411,265.991,8.423
-0.739,0.810,-0.022,-38.452,273.987,12.878
-0.549,0.861,-0.022,-60.974,269.104,6.836
-0.662,0.812,0.036,-98.816,253.235,-10.437
-0.833,0.750,0.145,-137.390,230.774,-47.302
-1.060,0.723,0.349,-128.296,244.141,-55.786
-1.184,0.702,0.332,-100.769,276.550,-62.683
-1.338,0.621,0.228,-40.405,349.548,-83.801
-1.466,0.498,0.087,-23.132,373.291,-84.717
-1.569,0.397,-0.246,-15.564,388.428,-68.359
-1.492,0.515,-0.409,-23.804,392.456,-39.734
-1.339,0.654,-0.534,-53.162,372.314,-3.723
-1.247,0.786,-0.695,-67.322,350.708,-5.554
-1.279,0.789,-0.746,-84.045,320.557,-16.418
-1.248,0.778,-0.787,-108.582,250.000,-46.997
-1.159,0.756,-0.817,-115.417,214.416,-60.669
-0.978,0.676,-0.856,-120.056,179.810,-70.984
-0.884,0.626,-0.872,-124.817,145.874,-76.050
-0.810,0.582,-0.871,-146.240,71.838,-67.688
-0.789,0.520,-0.774,-158.997,34.607,-59.326
-0.789,0.472,-0.650,-166.931,1.343,-53.406
-0.783,0.406,-0.493,-163.574,-27.100,-33.264
-0.789,0.397,-0.392,-156.128,-11.475,-2.380
-0.786,0.800,-0.422,-141.968,14.404,35.767
-0.797,1.116,-0.502,-120.361,40.344,62.073
-0.821,1.366,-0.624,-56.396,70.496,26.001
-0.842,1.401,-0.866,-18.860,65.491,-30.884
-0.862,1.185,-0.910,20.874,47.791,-94.482
-0.900,0.880,-0.915,69.214,0.305,-180.603
-0.902,0.576,-0.905,65.735,-24.109,-182.495
-0.799,0.236,-0.882,49.133,-49.072,-157.349
-0.768,0.247,-0.873,29.053,-73.792,-114.807
-0.760,0.349,-0.852,14.343,-119.263,-29.358
-0.772,0.611,-0.758,22.583,-140.137,-6.165
-0.715,0.684,-0.689,22.339,-161.682,0.488
-0.640,0.690,-0.582,-4.089,-210.999,-13.184
-0.587,0.653,-0.433,-13.550,-231.079,-20.386
-0.545,0.576,-0.110,-14.771,-239.136,-23.071
-0.527,0.577,-0.007,-0.916,-231.750,-21.179
-0.509,0.587,0.043,40.283,-183.777,-19.165
-0.458,0.550,-0.027,70.496,-150.940,-21.484
-0.427,0.507,-0.141,102.295,-120.239,-22.705
-0.412,0.455,-0.254,126.160,-92.712,-14.038
-0.406,0.410,-0.337,127.258,-94.421,-3.296
-0.415,0.361,-0.404,127.441,-101.318,9.521
-0.395,0.350,-0.401,129.333,-109.436,23.560
-0.406,0.350,-0.386,132.568,-121.460,59.143
-0.522,0.355,-0.376,132.996,-123.230,81.055
-0.551,0.396,-0.407,131.775,-124.573,110.291
