Motion detected, recording started...
aX, aY, aZ, gX, gY, gZ
Recording complete. Printing data...
aX,aY,aZ,gX,gY,gZ
0.281,0.680,-0.087,-55.603,-103.638,-13.245
0.280,0.604,-0.204,-32.410,-84.229,-8.423
0.277,0.547,-0.322,-42.847,-86.121,0.916
0.271,0.553,-0.383,-60.913,-93.323,12.512
0.277,0.597,-0.372,-79.041,-101.624,23.499
0.299,0.653,-0.318,-109.253,-118.896,38.208
0.370,0.750,-0.088,-113.708,-122.009,40.283
0.394,0.736,-0.025,-101.013,-115.540,38.269
0.399,0.673,-0.051,-46.448,-83.984,32.715
0.386,0.597,-0.142,-28.259,-71.716,35.828
0.343,0.504,-0.327,-20.752,-67.810,43.213
0.329,0.507,-0.330,-22.827,-71.350,53.284
0.325,0.538,-0.278,-40.222,-81.360,73.303
0.352,0.672,-0.134,-44.861,-81.360,80.322
0.369,0.758,-0.097,-44.922,-77.881,83.740
0.377,0.808,-0.094,-23.010,-68.298,75.378
0.376,0.775,-0.094,-4.517,-65.979,67.810
0.345,0.577,-0.051,8.545,-63.660,65.369
0.319,0.516,-0.055,14.099,-59.387,70.068
0.292,0.498,-0.077,4.211,-52.124,91.797
0.273,0.586,-0.037,-6.348,-53.284,103.638
0.286,0.685,0.057,-15.320,-55.420,113.220
0.300,0.792,0.151,-14.160,-45.227,118.835
0.304,0.870,0.196,-2.258,-32.043,114.319
0.260,0.883,0.116,10.437,-18.860,107.910
0.219,0.824,0.034,20.264,-9.277,102.356
0.178,0.748,-0.026,23.621,-5.737,103.455
0.107,0.665,-0.037,19.653,-7.080,110.840
0.093,0.703,-0.027,17.700,-7.446,120.666
0.097,0.812,0.008,13.123,-9.155,137.390
0.112,0.952,0.081,6.897,-7.996,137.085
0.115,1.084,0.183,3.052,-1.770,129.639
0.082,1.018,0.148,5.432,8.118,118.958
0.032,0.907,0.084,9.155,23.132,110.229
-0.074,0.759,0.008,6.287,25.391,116.272
-0.116,0.759,0.002,3.662,26.550,126.770
-0.146,0.835,0.025,-16.296,28.137,150.940
-0.159,1.014,0.088,-31.799,31.799,156.616
-0.186,1.478,0.181,-34.424,40.833,150.696
-0.233,1.555,0.140,-22.583,54.138,131.165
-0.288,1.486,0.042,4.150,75.073,81.604
-0.356,1.199,-0.106,1.282,73.364,69.946
-0.365,1.126,-0.031,-20.020,63.477,69.214
-0.377,1.138,0.123,-85.083,53.345,75.867
-0.403,1.208,0.233,-93.872,67.627,73.059
-0.452,1.417,0.070,-81.055,88.684,65.369
-0.464,1.480,-0.090,-58.350,105.713,53.467
-0.463,1.456,-0.203,-31.006,111.572,22.705
-0.485,1.195,-0.241,-43.335,105.530,11.414
-0.519,1.113,-0.225,-81.909,98.572,8.667
-0.555,1.128,-0.226,-139.709,105.286,11.047
-0.579,1.164,-0.328,-127.747,114.563,6.592
-0.596,1.222,-0.584,-112.244,114.624,-0.427
-0.607,1.215,-0.586,-103.577,106.018,-9.583
-0.618,1.189,-0.557,-98.633,93.201,-27.466
-0.626,1.176,-0.636,-94.116,92.407,-34.302
-0.625,1.156,-0.694,-88.989,90.454,-42.175
-0.629,1.099,-0.739,-76.843,83.191,-59.509
-0.635,1.021,-0.796,-70.251,77.576,-64.758
-0.608,0.935,-0.829,-67.444,67.505,-66.772
-0.578,0.946,-0.782,-67.993,55.359,-67.444
-0.548,0.959,-0.729,-63.599,39.795,-75.867
-0.525,0.890,-0.680,-52.856,40.222,-83.557
-0.523,0.837,-0.730,-39.551,43.945,-89.905
-0.509,0.801,-0.779,-34.973,35.461,-93.079
-0.484,0.805,-0.769,-40.527,25.146,-92.163
-0.441,0.888,-0.645,-44.006,20.081,-94.116
-0.441,0.881,-0.644,-38.147,22.461,-100.769
-0.453,0.831,-0.701,-16.541,25.757,-117.187
-0.435,0.650,-0.754,-11.047,16.663,-121.582
-0.423,0.579,-0.721,-2.319,4.883,-117.798
-0.406,0.618,-0.684,8.850,-8.484,-94.238
-0.387,0.692,-0.662,13.367,-8.667,-89.416
-0.349,0.782,-0.661,15.564,-8.545,-88.379
-0.333,0.828,-0.655,13.306,-9.827,-88.318
-0.322,0.858,-0.660,15.930,-13.733,-94.849
-0.299,0.796,-0.677,23.376,-15.930,-101.196
-0.286,0.715,-0.709,33.020,-17.517,-106.506
-0.270,0.634,-0.742,45.654,-25.452,-104.980
-0.249,0.573,-0.748,35.950,-33.020,-97.229
-0.213,0.545,-0.723,13.184,-41.504,-86.304
-0.196,0.569,-0.702,-11.292,-51.025,-74.280
-0.170,0.602,-0.646,-41.504,-69.275,-55.542
-0.106,0.666,-0.508,-44.922,-71.106,-49.622
-0.092,0.700,-0.504,-38.757,-67.017,-45.898
-0.087,0.723,-0.524,-13.489,-57.495,-45.166
-0.087,0.724,-0.549,-4.883,-55.725,-45.044
-0.083,0.743,-0.564,-6.348,-55.786,-43.213
-0.077,0.763,-0.569,-15.869,-56.641,-40.955
-0.072,0.781,-0.580,-30.762,-61.829,-38.208
-0.050,0.773,-0.604,-26.855,-65.979,-38.147
-0.033,0.749,-0.600,-19.104,-71.289,-38.147
-0.013,0.723,-0.572,-8.972,-81.299,-36.255
0.008,0.696,-0.554,-8.911,-84.656,-33.630
0.053,0.687,-0.536,-11.108,-88.989,-30.640
0.078,0.667,-0.490,-9.827,-93.811,-28.870
0.100,0.612,-0.437,-0.793,-96.313,-27.283
0.133,0.502,-0.365,0.000,-94.604,-23.132
0.149,0.491,-0.345,2.930,-92.163,-16.418
0.164,0.493,-0.346,10.132,-86.487,-1.831
0.174,0.505,-0.363,6.775,-86.304,5.554
0.190,0.592,-0.355,2.991,-87.952,12.390
0.200,0.648,-0.351,2.441,-88.989,17.212
0.210,0.678,-0.347,4.944,-90.332,19.043
0.225,0.648,-0.263,2.930,-91.125,19.226
0.234,0.628,-0.221,0.183,-89.722,21.240
0.242,0.615,-0.208,-0.854,-81.787,28.687
