aX,aY,aZ,gX,gY,gZ
0.182,0.584,0.322,-39.185,-23.926,-8.362
0.143,0.654,0.315,-66.772,-35.339,0.122
0.034,0.898,0.437,-74.524,-39.734,0.854
0.001,0.954,0.523,-70.251,-39.978,-3.113
-0.034,1.020,0.568,-45.471,-30.334,-10.925
-0.097,1.152,0.578,-36.926,-25.330,-15.442
-0.217,1.482,0.660,-29.846,-20.996,-24.353
-0.210,1.493,0.745,-21.301,-15.198,-38.452
-0.171,1.436,0.771,-5.676,6.775,-68.359
-0.015,1.194,0.503,0.732,17.517,-83.069
0.096,0.992,0.368,2.136,20.874,-95.886
0.196,0.813,0.309,-13.184,10.498,-104.736
0.278,0.647,0.290,-24.902,4.517,-101.685
0.403,0.305,0.275,-33.020,-0.305,-93.750
0.451,0.171,0.230,-34.607,-3.784,-80.994
0.477,0.116,0.180,-31.128,-14.404,-47.729
0.442,0.212,-0.013,-31.555,-22.949,-33.630
0.409,0.231,-0.074,-33.630,-36.560,-23.376
0.380,0.183,-0.058,-41.565,-72.266,-5.127
0.352,0.085,-0.010,-46.265,-87.097,7.629
0.250,0.030,0.053,-49.622,-97.534,23.132
0.176,0.106,-0.035,-51.514,-104.431,37.598
0.117,0.175,-0.131,-56.763,-124.451,53.772
0.046,0.283,-0.225,-55.908,-139.587,59.326
0.000,0.402,-0.156,-55.054,-157.043,66.467
-0.042,0.526,-0.064,-37.292,-180.969,77.698
-0.065,0.591,-0.110,-20.508,-187.561,78.735
-0.056,0.508,-0.707,-5.493,-203.247,78.613
-0.091,0.451,-0.844,3.296,-236.084,81.421
-0.188,0.448,-0.682,24.536,-318.665,104.065
-0.463,0.422,0.057,47.424,-343.140,119.873
-0.614,0.504,0.311,71.838,-352.234,137.512
-0.370,-0.663,1.265,-6.104,-17.761,182.068
-0.448,0.384,1.552,12.695,-5.859,202.759
-0.426,1.388,2.046,8.972,31.250,117.493
0.103,2.666,1.607,-1.831,87.708,38.757
0.502,3.258,0.448,5.066,135.315,-37.415
0.695,3.462,-0.346,58.594,50.293,-214.478
0.558,2.707,-0.427,91.858,-34.607,-295.349
-0.263,-0.923,-0.004,127.930,-100.464,-327.698
-0.633,-2.627,0.521,156.555,-149.841,-296.326
-0.873,-3.148,1.413,116.150,-148.499,-117.065
-0.822,-2.454,1.597,29.053,-80.872,-66.284
-0.594,-2.329,0.989,-47.791,-17.700,-46.875
-0.360,-2.041,0.545,-28.931,7.019,15.137
-0.177,-1.474,0.488,16.541,-11.292,47.119
0.027,-0.395,0.853,41.565,-28.259,61.340
0.055,-0.099,1.017,45.715,-39.063,59.692
0.034,0.086,1.198,33.508,-43.640,37.537
-0.074,0.336,1.435,17.822,-35.461,20.325
-0.111,0.268,1.385,-3.235,-23.071,-2.380
-0.155,0.118,1.378,-17.212,-4.211,-35.156
-0.219,-0.048,1.472,-7.385,6.531,-38.330
-0.340,-0.271,1.784,3.174,21.606,-34.546
-0.387,-0.291,1.976,7.874,41.870,-26.367
-0.406,-0.271,2.104,-9.705,106.201,-8.240
-0.341,-0.206,1.871,-36.194,143.372,-1.892
-0.307,-0.132,1.714,-61.096,171.020,1.953
-0.278,-0.067,1.615,-60.364,198.669,-1.404
-0.235,-0.027,1.483,-51.270,208.008,-5.615
-0.059,-0.152,0.980,-49.133,213.013,-10.254
0.051,-0.206,0.624,-49.011,210.327,-11.841
0.158,-0.159,0.274,-12.939,169.617,-10.864
0.296,-0.198,0.077,11.597,135.620,-14.587
0.328,-0.329,0.105,21.973,106.201,-16.418
0.349,-0.478,0.106,17.273,62.439,-5.798
0.342,-0.541,0.177,17.822,41.565,6.165
0.249,-0.365,0.706,19.775,28.748,15.503
0.221,-0.362,0.869,15.869,30.151,17.761
0.218,-0.457,0.886,-19.348,52.673,16.296
0.238,-0.501,0.756,-41.443,60.486,21.912
0.255,-0.392,0.694,-61.157,64.514,29.846
0.274,-0.248,0.613,-83.557,64.087,35.278
0.292,-0.114,0.527,-76.721,54.138,26.245
0.295,-0.156,0.568,-64.026,39.795,14.709
0.282,-0.053,0.587,-51.941,28.137,8.484
0.270,0.152,0.565,-37.720,9.766,-10.986
0.266,0.599,0.546,-34.668,1.648,-32.043
0.277,0.824,0.405,-31.433,-3.418,-60.303
0.285,0.872,0.133,-20.386,-30.396,-134.644
0.273,0.724,-0.074,-2.869,-61.890,-166.077
0.163,0.786,0.004,20.569,-92.651,-188.293
0.060,0.982,0.103,42.419,-115.479,-212.524
-0.071,1.040,0.224,68.359,-145.203,-288.269
