aX,aY,aZ,gX,gY,gZ
-1.432,1.354,3.564,214.722,-149.414,312.317
-1.807,3.317,4.000,199.219,85.327,191.101
-2.059,4.000,3.908,-36.438,222.534,-63.843
-1.555,1.883,0.893,-333.923,270.996,-344.543
-0.907,-0.879,-0.798,-489.136,237.122,-501.160
-0.257,-3.140,-1.709,-173.462,50.842,-352.417
0.114,-3.877,-0.275,76.172,-35.278,-180.176
-0.028,-3.296,0.699,208.130,-74.158,-43.640
-0.131,-2.674,1.201,140.198,-46.265,62.134
-0.141,-2.036,1.252,63.416,-15.930,64.270
0.008,-0.983,0.618,3.601,3.662,54.810
0.045,-0.656,0.497,-34.729,2.380,46.814
0.022,-0.360,0.613,-24.414,-22.949,54.321
-0.144,0.281,0.946,5.432,-26.489,58.716
-0.227,0.431,1.033,28.015,-24.292,52.612
-0.282,0.428,1.064,35.278,-19.165,17.822
-0.302,0.333,1.055,28.259,-19.836,1.404
-0.284,0.154,0.914,20.630,-23.254,-10.498
-0.270,0.069,0.893,16.418,-29.297,-19.226
-0.255,-0.036,0.955,19.592,-37.109,-29.236
-0.220,-0.189,1.046,23.865,-34.302,-29.419
-0.208,-0.187,1.044,28.503,-29.358,-26.917
-0.205,-0.132,0.999,37.476,-20.630,-23.315
-0.214,-0.061,0.950,35.950,-20.691,-27.100
-0.264,-0.051,0.941,31.860,-21.729,-34.546
-0.291,-0.157,0.981,27.954,-22.827,-42.725
-0.321,-0.300,1.067,29.480,-20.935,-48.828
-0.398,-0.564,1.342,32.227,-14.221,-45.532
-0.437,-0.629,1.388,35.339,-0.671,-38.818
-0.465,-0.662,1.379,29.175,26.306,-22.156
-0.500,-0.696,1.500,20.752,38.147,-14.526
-0.564,-0.627,1.645,19.470,56.580,-9.216
-0.552,-0.580,1.655,22.766,76.660,-7.263
-0.529,-0.538,1.644,15.625,113.098,-5.005
-0.472,-0.482,1.704,3.845,130.615,-4.395
-0.436,-0.452,1.641,-9.705,150.269,-4.211
-0.394,-0.400,1.481,-48.889,183.105,-5.432
-0.351,-0.319,1.292,-72.388,190.491,-9.094
-0.220,-0.369,0.940,-91.125,191.345,-14.221
-0.141,-0.481,0.859,-101.990,185.242,-15.076
-0.081,-0.516,0.878,-110.840,169.312,1.038
-0.032,-0.284,0.848,-106.079,167.236,7.751
-0.002,-0.166,0.755,-98.999,164.734,8.057
0.040,-0.109,0.707,-91.736,143.738,-1.770
0.081,-0.125,0.719,-79.956,130.493,-5.554
0.130,-0.214,0.790,-68.726,120.056,-7.385
0.157,-0.284,0.836,-62.744,113.892,-8.423
0.187,-0.332,0.845,-58.777,111.633,-2.441
0.221,-0.185,0.785,-56.580,111.084,2.136
0.244,-0.137,0.728,-54.443,109.253,2.869
0.263,-0.104,0.673,-51.697,98.511,-1.282
0.276,-0.065,0.641,-48.157,90.515,-5.371
0.311,-0.099,0.673,-43.701,82.092,-10.254
0.336,-0.197,0.724,-38.635,75.012,-13.611
0.361,-0.285,0.764,-31.982,68.481,-7.080
0.391,-0.309,0.746,-32.532,67.261,1.038
0.387,-0.223,0.732,-33.386,65.002,9.277
0.382,-0.124,0.734,-34.058,58.594,14.404
0.383,-0.077,0.744,-36.865,55.786,12.329
0.384,-0.027,0.743,-42.480,53.711,9.827
0.385,-0.012,0.726,-49.377,52.124,7.324
0.385,0.016,0.718,-54.504,49.744,3.540
0.368,0.144,0.635,-52.368,48.279,0.854
0.351,0.247,0.565,-49.500,44.067,-4.150
0.334,0.332,0.530,-51.575,26.733,-25.574
0.314,0.401,0.523,-55.359,18.188,-41.138
0.275,0.372,0.494,-58.044,10.559,-57.495
0.244,0.375,0.469,-52.734,3.418,-71.228
0.205,0.465,0.395,-17.029,-12.939,-97.107
0.104,0.834,0.175,-2.747,-26.123,-117.432
0.037,1.007,0.094,3.845,-43.335,-147.217
-0.020,1.015,0.094,-12.817,-86.182,-229.614
-0.057,0.787,0.161,-33.203,-106.262,-264.465
-0.046,-0.033,0.333,-46.753,-121.216,-282.166
-0.021,-0.267,0.389,-43.213,-130.737,-280.396
0.001,-0.321,0.455,2.136,-140.320,-249.145
0.033,-0.293,0.647,17.639,-143.066,-234.253
0.030,-0.250,0.799,20.752,-145.264,-222.717
0.025,-0.297,0.943,-0.549,-141.235,-208.740
0.003,-0.347,1.024,-7.690,-135.986,-200.623
-0.109,-0.198,0.932,-6.287,-131.226,-195.068
-0.177,-0.128,0.824,-1.221,-130.554,-195.190
-0.224,-0.226,0.819,8.362,-143.616,-204.529
-0.222,-0.812,1.119,13.184,-147.644,-199.951
-0.205,-1.017,1.253,17.029,-145.142,-183.472
-0.215,-0.987,1.282,20.630,-125.122,-135.010
-0.253,-0.763,1.183,19.653,-115.540,-121.460
-0.363,-0.439,0.905,16.663,-111.938,-119.202
-0.400,-0.507,0.871,15.137,-113.892,-122.620
-0.394,-0.804,0.952,8.118,-122.925,-120.850
-0.318,-1.518,1.330,3.052,-121.399,-99.609
-0.314,-1.607,1.405,5.188,-110.474,-64.880
-0.334,-1.569,1.397,7.690,-75.806,12.756
-0.353,-1.598,1.387,-4.517,-59.875,50.659
-0.419,-1.593,1.464,-14.954,-43.457,92.773
-0.482,-1.308,1.430,-19.775,-24.231,133.972
-0.534,-0.941,1.315,-37.048,14.709,175.232
-0.501,-0.706,0.942,-55.420,27.527,173.157
-0.431,-0.959,0.802,-75.500,32.471,169.739
-0.382,-1.275,0.701,-90.210,23.071,204.773
-0.391,-1.425,0.659,-76.050,13.062,243.896
-0.585,-0.894,0.878,-50.842,4.272,283.630
-0.681,-0.303,1.036,-20.569,1.282,310.242
-0.701,0.220,1.096,-10.620,8.240,287.598
-0.529,0.424,1.130,-42.358,11.597,247.437
-0.409,0.077,1.073,-76.355,16.541,207.947
-0.336,-0.267,0.991,-93.567,22.705,184.082
-0.333,-0.368,0.944,-73.059,21.912,195.129
-0.403,0.050,0.911,-44.678,18.982,204.712
-0.419,0.334,0.952,-21.423,12.634,204.956
-0.410,0.550,1.047,-10.498,-1.404,172.119
-0.325,0.548,1.200,-20.447,-2.808,145.752
-0.272,0.381,1.204,-32.104,0.000,121.826
-0.231,0.211,1.179,-40.222,9.827,100.098
-0.213,0.137,1.154,-33.142,13.977,100.464
-0.218,0.334,1.059,-22.278,17.151,100.342
-0.210,0.471,0.999,-13.428,17.822,94.482
-0.188,0.513,0.960,-7.751,11.230,65.613
-0.136,0.342,0.977,-7.385,6.958,50.171
-0.112,0.220,0.986,-4.883,4.395,38.574
-0.097,0.132,0.980,9.888,1.892,29.480
-0.089,0.083,0.995,16.785,0.183,29.053
-0.098,0.122,1.036,20.569,-0.427,28.503
-0.100,0.164,1.015,20.447,0.122,25.330
-0.096,0.191,1.012,9.277,0.305,10.071
-0.084,0.121,0.993,1.038,0.854,-0.183
-0.074,0.031,0.948,-4.028,1.221,-9.155
-0.062,-0.053,0.925,5.676,-2.014,-16.052
-0.050,-0.114,0.943,13.916,-3.723,-14.526
-0.042,-0.176,1.005,18.738,-4.211,-11.902
-0.045,-0.195,1.006,21.362,-3.357,-8.972
-0.051,-0.194,1.000,19.165,-1.648,-4.211
-0.071,-0.126,0.983,13.123,-1.282,-4.639
-0.071,-0.134,0.980,6.104,-1.404,-8.240
-0.062,-0.195,1.004,-3.113,-1.587,-15.625
-0.053,-0.261,1.027,-2.991,0.183,-15.015
-0.040,-0.323,1.016,0.122,2.258,-12.024
-0.032,-0.324,1.011,4.578,3.601,-7.385
-0.028,-0.288,1.012,10.742,5.310,2.136
-0.029,-0.168,0.997,11.597,5.676,3.479
-0.024,-0.141,1.005,10.803,5.310,1.709
-0.015,-0.155,1.009,4.883,5.188,-5.127
-0.007,-0.187,0.991,1.404,5.310,-6.775
-0.007,-0.217,0.949,-1.587,4.639,-7.019
-0.008,-0.207,0.936,-3.296,3.540,-6.775
-0.006,-0.201,0.923,-3.357,0.854,-6.958
0.001,-0.221,0.933,-4.395,-1.343,-6.653
-0.002,-0.219,0.965,-6.287,-3.296,-5.676
-0.007,-0.207,0.992,-3.906,-3.357,-4.272
-0.009,-0.203,1.001,3.235,-2.014,-3.845
-0.447,-3.743,0.591,9.094,-70.801,223.755
-0.815,-3.044,0.880,22.766,-86.243,343.323
-1.113,-1.494,1.127,-33.691,-78.796,473.755
-0.833,0.633,1.243,-95.093,-50.842,424.744
-0.484,0.434,1.361,-158.447,-15.747,338.074
-0.277,0.205,1.625,-88.074,54.382,264.221
-0.230,0.665,1.692,83.740,86.670,278.564
-0.138,3.637,1.242,278.564,98.083,264.099
0.050,4.000,1.290,380.554,87.036,163.330
0.134,4.000,1.308,194.702,74.829,-232.727
-0.185,1.384,0.304,91.492,74.951,-381.531
-0.321,-0.853,-0.502,56.824,58.350,-439.880
-0.356,-2.885,-0.689,83.862,-44.067,-327.759
-0.367,-4.000,-0.102,73.181,-71.899,-218.933
-0.346,-3.720,0.754,36.316,-52.795,-124.268
-0.208,-3.174,0.311,8.728,-8.911,-56.152
-0.047,-2.477,-0.158,76.172,8.789,36.194
0.163,-0.869,0.185,144.775,-21.118,57.312
0.236,-0.426,0.568,190.674,-45.105,56.763
0.270,-0.194,0.765,191.956,-53.589,27.649
0.249,-0.047,0.867,182.129,-52.917,7.202
0.135,0.091,1.124,170.227,-47.974,-17.212
0.073,0.012,1.185,145.081,-35.034,-43.640
0.021,-0.180,1.069,107.361,1.770,-89.294
0.047,-1.001,0.396,96.436,5.066,-99.915
0.058,-1.347,0.288,92.224,-10.986,-94.604
0.019,-1.446,0.411,138.062,-48.584,-44.006
-0.022,-1.315,0.609,166.260,-50.293,-14.648
-0.073,-0.827,0.932,156.128,-45.898,-6.958
-0.091,-0.998,1.032,102.356,-35.217,-20.630
-0.098,-1.169,0.934,-8.240,4.883,-26.794
-0.123,-1.288,0.677,-30.518,14.893,-16.907
-0.151,-1.342,0.769,-37.109,16.968,-4.211
-0.192,-1.414,0.991,-44.678,31.433,23.682
-0.227,-1.469,1.177,-55.054,52.185,37.231
-0.242,-1.584,1.218,-61.707,76.721,51.147
-0.227,-1.588,1.125,-57.251,100.037,68.054
-0.200,-1.527,1.011,-31.311,129.700,105.164
-0.135,-1.318,0.866,-26.367,134.705,120.056
-0.097,-1.180,0.801,-28.442,136.841,131.897
-0.049,-1.028,0.741,-37.109,137.268,145.874
0.003,-0.881,0.686,-40.649,138.489,148.132
0.122,-0.669,0.492,-40.466,139.954,148.437
0.181,-0.547,0.374,-31.555,139.282,147.644
0.242,-0.418,0.266,-9.766,124.756,131.165
0.338,-0.377,0.229,-8.972,112.244,114.563
0.365,-0.416,0.239,-11.475,101.196,99.060
0.385,-0.466,0.252,-19.592,84.717,75.195
0.410,-0.517,0.254,-28.809,79.590,65.979
0.456,-0.569,0.156,-37.354,75.623,58.228
0.474,-0.548,0.079,-38.757,71.594,51.514
0.491,-0.526,0.013,-25.391,56.030,37.781
0.521,-0.613,-0.023,-18.127,44.067,31.128
0.523,-0.688,0.073,-11.475,31.067,26.794
0.520,-0.732,0.204,0.732,16.235,26.062
0.517,-0.758,0.331,3.235,15.747,26.794
0.523,-0.773,0.501,0.671,19.409,27.466
0.539,-0.779,0.454,-8.362,25.696,27.710
0.553,-0.779,0.375,-21.973,29.968,29.907
0.572,-0.732,0.301,-18.250,27.222,32.227
0.580,-0.704,0.299,-10.742,23.743,34.058
0.570,-0.689,0.335,-0.061,15.503,36.133
0.570,-0.665,0.408,2.380,13.855,37.354
0.574,-0.605,0.445,-1.892,16.174,34.424
0.565,-0.633,0.376,-9.521,19.226,30.090
0.562,-0.512,0.382,-11.719,17.578,31.738
0.575,-0.388,0.350,-13.672,18.005,24.231
0.580,-0.417,0.323,-10.925,16.907,15.320
0.583,-0.394,0.328,-6.958,12.024,4.272
0.587,-0.402,0.372,-16.479,10.437,-4.150
0.589,-0.574,0.413,-24.658,10.376,-10.376
0.585,-0.605,0.410,-26.794,10.132,-10.986
0.576,-0.587,0.455,-28.687,7.507,-6.409
0.564,-0.579,0.486,-32.898,9.338,-6.958
0.560,-0.605,0.448,-35.645,11.841,-8.545
0.550,-0.620,0.419,-32.227,13.184,-10.010
0.535,-0.617,0.430,-28.076,12.756,-10.559
0.500,-0.633,0.521,-24.658,14.343,-11.963
0.490,-0.669,0.521,-24.536,18.127,-13.306
0.480,-0.669,0.496,-34.363,25.330,-12.024
0.449,-0.561,0.453,-40.710,27.649,-12.512
0.426,-0.512,0.434,-46.936,29.846,-15.564
0.398,-0.480,0.465,-57.678,33.691,-26.123
0.370,-0.455,0.518,-60.059,38.696,-31.799
0.319,-0.330,0.529,-61.401,44.739,-38.086
0.293,-0.222,0.555,-63.171,49.683,-46.509
0.272,-0.090,0.622,-66.528,61.707,-75.623
0.257,0.230,0.748,-68.481,71.716,-99.182
0.240,0.368,0.790,-70.740,82.458,-130.493
0.208,0.415,0.811,-71.594,101.074,-209.045
0.091,0.243,0.816,-66.284,108.826,-246.338
0.023,0.115,0.752,-56.580,118.530,-277.954
-0.033,-0.014,0.597,-46.021,129.028,-304.626
-0.074,-0.213,0.405,-42.847,128.601,-346.130
-0.015,-0.973,0.024,-47.852,113.708,-352.905
0.054,-1.303,0.024,-36.377,91.736,-343.140
0.111,-1.424,0.094,38.513,58.655,-286.804
0.121,-1.254,0.350,61.646,48.950,-260.376
0.069,-1.163,0.500,60.547,44.189,-242.493
-0.001,-1.088,0.559,46.204,47.546,-231.812
-0.073,-1.048,0.517,13.489,65.857,-224.915
-0.156,-1.309,0.156,-1.648,70.129,-221.924
-0.185,-1.479,-0.020,-8.484,65.063,-212.585
-0.219,-1.586,-0.072,15.503,36.072,-177.979
-0.292,-1.516,0.124,33.997,22.766,-159.119
-0.330,-1.396,0.280,41.748,14.771,-144.409
-0.353,-1.314,0.383,23.560,24.902,-132.263
-0.369,-1.320,0.358,6.897,38.513,-128.784
-0.343,-1.497,0.030,-10.010,48.950,-121.948
-0.312,-1.615,-0.186,-26.245,51.453,-112.122
-0.291,-1.645,-0.264,-37.842,26.917,-80.505
-0.286,-1.571,-0.233,-28.870,12.878,-63.049
-0.291,-1.508,-0.230,-12.085,0.610,-46.387
-0.299,-1.426,-0.248,13.428,-25.085,-17.700
-0.303,-1.383,-0.264,11.169,-40.771,-6.531
-0.299,-1.389,-0.205,6.165,-55.420,4.517
-0.287,-1.433,-0.224,-0.854,-65.857,16.602
-0.281,-1.504,-0.277,-34.973,-82.397,49.377
-0.319,-1.623,-0.579,-54.932,-90.698,71.411
-0.367,-1.664,-0.755,-68.726,-105.774,95.886
-0.433,-1.588,-0.854,-39.612,-161.316,149.414
-0.511,-1.365,-0.838,-12.573,-197.632,168.518
-0.614,-0.948,-0.089,1.404,-229.553,176.147
-0.573,-0.961,0.330,-8.118,-242.432,174.866
-0.501,-1.066,0.555,-69.092,-208.191,175.354
-0.423,-1.045,0.506,-96.802,-181.458,183.289
