aX,aY,aZ,gX,gY,gZ
0.160,0.922,0.118,10.254,-17.273,25.391
0.152,0.906,0.127,6.897,-14.709,27.283
0.143,0.911,0.115,2.625,-8.057,33.203
0.130,0.920,0.113,1.526,-6.409,34.973
0.092,0.935,0.106,1.709,-3.845,36.377
0.072,0.966,0.064,2.258,-0.305,38.330
0.061,1.016,0.028,5.066,0.061,41.992
0.067,1.072,0.115,7.202,-2.930,40.771
0.062,1.046,0.165,8.179,-2.686,37.537
0.040,0.991,0.147,10.132,8.850,33.386
0.006,0.925,0.073,7.751,12.207,37.598
-0.040,0.920,-0.033,-0.549,10.742,47.302
-0.057,0.999,-0.025,-12.390,6.470,58.411
-0.068,1.046,-0.004,-21.667,-2.502,64.941
-0.055,0.991,0.091,-19.043,-5.676,61.279
-0.042,0.958,0.134,-16.174,-3.418,57.678
-0.042,0.956,0.104,-27.222,17.456,59.448
-0.070,0.986,-0.010,-34.119,22.583,61.768
-0.122,1.010,-0.140,-33.752,18.433,60.913
-0.120,1.002,-0.096,-28.564,10.925,58.411
-0.112,1.005,-0.046,-19.470,7.202,55.786
-0.113,1.023,-0.018,-21.973,9.155,53.467
-0.131,1.025,-0.013,-25.635,10.315,49.927
-0.154,1.016,-0.016,-10.620,11.719,42.114
-0.165,0.998,-0.032,-1.831,11.658,40.344
-0.150,0.980,-0.057,-3.662,9.827,40.405
-0.136,0.984,-0.040,-14.587,6.104,40.710
-0.132,0.990,0.010,-29.541,-0.671,37.537
-0.138,0.945,0.114,-28.503,1.526,33.691
-0.143,0.903,0.095,-23.926,8.301,30.762
-0.147,0.887,0.053,-17.517,18.738,34.241
-0.161,0.903,0.045,-20.630,20.691,38.452
-0.213,0.993,0.057,-21.423,24.353,42.358
-0.225,1.049,0.042,-16.846,27.954,44.128
-0.227,1.074,0.052,-4.639,29.297,35.767
-0.243,1.024,0.033,-4.089,31.311,31.067
-0.259,1.020,-0.001,-9.583,31.799,29.907
-0.272,1.037,0.009,-24.109,25.146,29.236
-0.274,1.052,0.041,-24.292,25.269,26.978
-0.254,1.059,0.072,-20.447,28.503,24.475
-0.248,1.049,0.081,-16.968,32.776,21.484
-0.255,1.020,0.076,-18.433,44.189,14.099
-0.312,0.996,-0.039,-15.564,50.415,13.367
-0.338,1.002,-0.103,-9.338,53.833,14.404
-0.351,1.022,-0.161,-1.709,54.749,20.020
-0.356,1.057,-0.212,-5.188,52.673,23.132
-0.374,1.147,-0.253,-12.390,48.584,23.743
-0.380,1.166,-0.241,-20.325,42.786,19.836
-0.381,1.138,-0.189,-26.184,31.189,2.808
-0.372,0.995,-0.097,-26.917,29.480,-3.479
-0.364,0.929,-0.093,-30.334,30.945,-5.188
-0.357,0.897,-0.115,-43.884,38.818,3.113
-0.355,0.918,-0.148,-50.903,41.199,8.240
-0.357,1.049,-0.170,-47.729,43.274,9.460
-0.360,1.058,-0.187,-35.217,44.556,4.883
-0.356,0.977,-0.186,-2.930,36.987,-10.681
-0.338,0.729,-0.143,19.714,34.302,-10.132
-0.332,0.724,-0.113,35.217,35.156,-0.244
-0.331,0.817,-0.046,57.983,47.119,28.381
-0.378,1.055,-0.038,61.951,57.800,32.532
-0.429,1.487,-0.185,29.724,57.922,11.658
-0.430,1.290,-0.188,-24.475,47.729,-29.846
-0.465,1.022,-0.198,-66.528,27.527,-76.294
-0.433,0.928,0.021,-56.946,26.062,-69.702
-0.336,1.033,-0.091,-49.011,42.236,-59.265
-0.268,0.980,-0.303,-67.688,44.617,-68.970
-0.246,0.686,-0.290,-58.838,16.296,-68.604
-0.254,0.396,-0.062,-26.489,0.122,-42.236
-0.273,0.642,-0.155,4.761,-1.160,-1.892
-0.286,0.903,-0.199,12.451,-12.146,25.879
-0.258,0.976,-0.033,8.972,-18.433,10.437
-0.253,0.902,0.021,11.841,-14.282,-3.052
-0.260,0.906,-0.017,28.076,13.123,-4.028
-0.275,0.959,-0.098,33.020,18.616,-5.798
-0.290,0.954,-0.166,32.715,17.517,-10.193
-0.286,0.940,-0.164,26.611,15.320,-11.597
-0.281,0.968,-0.165,-3.052,11.292,-5.859
-0.276,1.062,-0.098,-18.921,10.559,-4.456
-0.290,1.096,-0.119,-26.184,13.733,-5.859
-0.301,1.081,-0.168,-19.043,11.841,-17.883
-0.303,1.038,-0.188,-12.756,5.005,-21.545
-0.290,1.003,-0.145,-8.545,0.427,-21.484
-0.289,1.023,-0.152,-10.376,0.549,-19.348
-0.288,1.043,-0.177,-21.790,3.418,-19.043
-0.279,1.054,-0.163,-20.203,2.075,-21.729
-0.280,1.090,-0.140,-16.174,0.977,-24.292
-0.282,1.137,-0.141,-13.367,5.249,-32.715
-0.282,1.147,-0.184,-12.695,6.592,-40.222
-0.274,1.021,-0.285,-15.625,5.066,-46.082
-0.263,0.949,-0.329,-23.254,0.977,-48.035
-0.245,0.907,-0.302,-38.574,-14.526,-42.664
-0.206,0.999,-0.149,-43.091,-16.785,-38.757
-0.199,1.050,-0.151,-44.006,-13.733,-38.513
-0.197,1.042,-0.195,-34.485,-9.949,-47.058
-0.192,0.992,-0.231,-29.541,-13.062,-48.950
-0.170,0.926,-0.192,-26.489,-15.686,-47.180
-0.160,0.956,-0.181,-24.658,-14.587,-42.908
-0.154,0.992,-0.206,-26.855,-9.033,-39.551
-0.150,0.958,-0.252,-28.992,-9.583,-41.138
-0.148,0.962,-0.255,-30.884,-11.047,-40.710
-0.142,0.981,-0.254,-31.250,-12.695,-37.720
-0.131,1.003,-0.242,-30.518,-12.024,-37.415
-0.125,0.992,-0.240,-28.503,-8.972,-38.147
-0.125,0.978,-0.268,-26.428,-5.188,-38.025
-0.117,0.996,-0.300,-18.982,-3.784,-37.231
-0.099,0.947,-0.421,-13.184,-7.751,-40.710
-0.083,0.907,-0.431,-15.320,-17.151,-42.603
-0.066,0.885,-0.394,-34.424,-35.095,-38.879
-0.051,0.885,-0.361,-38.208,-38.818,-37.537
-0.028,0.879,-0.313,-35.950,-39.673,-37.537
-0.019,0.863,-0.314,-31.311,-37.964,-38.025
-0.013,0.832,-0.312,-22.644,-34.363,-38.635
