aX,aY,aZ,gX,gY,gZ
0.130,0.059,0.986,44.189,-37.903,-14.160
0.120,0.003,0.878,32.227,-41.626,-15.076
0.121,-0.034,0.858,17.883,-47.302,-14.954
0.126,-0.082,0.868,-1.465,-55.664,-10.620
0.098,-0.101,0.948,-0.977,-56.335,-4.639
0.070,-0.075,0.994,3.418,-55.908,1.892
0.039,-0.039,1.024,13.672,-54.443,11.047
0.018,-0.012,1.018,18.494,-53.162,10.986
0.026,-0.070,0.879,18.616,-52.856,9.155
0.036,-0.125,0.803,12.573,-55.237,8.179
0.037,-0.181,0.803,-5.005,-67.322,14.160
-0.002,-0.225,1.021,-7.141,-70.496,22.156
-0.040,-0.161,1.085,0.916,-68.054,31.433
-0.074,-0.086,1.070,28.198,-57.068,41.260
-0.094,-0.024,1.024,32.104,-55.237,42.786
-0.119,0.056,1.024,28.870,-56.763,43.457
-0.118,0.043,1.132,20.935,-60.608,43.213
-0.106,-0.024,1.247,12.207,-59.204,42.358
-0.113,-0.075,1.195,18.066,-50.903,45.593
-0.135,-0.070,1.041,24.109,-42.603,48.645
-0.166,-0.076,0.921,13.428,-43.091,51.819
-0.204,-0.078,0.917,2.930,-50.049,54.138
-0.249,-0.078,1.157,-3.723,-55.420,56.885
-0.256,-0.055,1.278,-3.418,-56.213,59.814
-0.265,-0.010,1.309,4.639,-43.335,62.927
-0.285,-0.020,1.191,-2.197,-37.231,61.646
-0.298,-0.056,1.167,-13.977,-34.241,60.913
-0.312,-0.067,1.169,-14.282,-30.945,64.148
-0.323,-0.042,1.186,2.380,-29.053,65.857
-0.319,-0.042,1.195,17.090,-26.733,66.467
-0.316,-0.068,1.200,21.790,-23.804,67.627
-0.333,-0.069,1.199,8.484,-15.137,74.219
-0.381,-0.020,1.143,-1.282,-11.047,77.393
-0.395,0.011,1.142,-9.338,-9.216,78.918
-0.395,0.033,1.182,-10.437,-6.531,79.224
-0.390,0.037,1.212,-6.775,-2.258,80.200
-0.400,0.070,1.182,-7.202,2.625,82.031
-0.414,0.095,1.161,-13.977,6.348,83.069
-0.424,0.122,1.168,-25.024,10.071,81.116
-0.419,0.159,1.174,-21.423,12.756,78.430
-0.403,0.153,1.182,-15.564,15.503,75.195
-0.387,0.143,1.192,-7.935,23.682,71.655
-0.379,0.152,1.198,-7.324,28.076,71.533
-0.396,0.245,1.201,-9.460,31.433,69.946
-0.398,0.247,1.194,-15.198,33.508,65.491
-0.389,0.216,1.185,-22.095,37.048,55.420
-0.362,0.173,1.140,-18.982,39.490,52.917
-0.349,0.157,1.140,-14.160,41.443,51.208
-0.337,0.146,1.146,-7.751,45.471,49.438
-0.329,0.149,1.134,-11.536,47.546,47.668
-0.313,0.161,1.022,-19.409,48.096,44.312
-0.297,0.157,0.996,-26.123,46.692,40.405
-0.278,0.149,0.994,-24.536,43.762,34.729
-0.249,0.116,1.015,-18.738,43.335,33.569
-0.239,0.101,1.035,-13.672,43.152,33.020
-0.232,0.095,1.051,-8.606,44.495,33.203
-0.231,0.129,1.029,-9.644,44.861,32.471
-0.225,0.212,0.974,-13.062,42.786,28.748
-0.206,0.186,0.987,-15.930,39.429,23.132
-0.184,0.138,1.020,-16.846,35.889,16.663
-0.173,0.153,1.062,-11.780,37.109,16.479
-0.176,0.192,1.056,-3.296,39.185,15.564
-0.171,0.211,1.056,9.216,41.260,10.559
-0.163,0.213,1.061,8.362,41.809,8.789
-0.153,0.217,1.063,6.592,42.847,7.629
-0.151,0.231,1.055,6.775,44.128,5.859
-0.147,0.228,1.035,21.606,46.509,-1.892
-0.124,0.178,0.965,30.518,46.692,-5.920
-0.109,0.164,0.964,30.579,45.227,-8.301
-0.105,0.179,0.980,-2.686,40.588,-9.644
-0.108,0.203,1.014,-20.569,39.124,-12.085
-0.100,0.204,1.027,-27.405,39.856,-16.113
-0.087,0.164,0.964,-26.672,41.626,-21.667
-0.070,0.104,0.906,-15.503,41.016,-28.137
-0.040,0.052,0.867,-8.972,38.452,-25.757
-0.041,0.061,0.896,-9.277,35.278,-22.705
-0.038,0.048,0.909,-17.212,33.752,-23.376
-0.029,0.014,0.905,-10.132,34.546,-23.621
-0.005,-0.005,0.907,5.127,35.767,-22.400
0.000,0.001,0.918,19.775,36.926,-20.630
-0.005,0.039,0.937,21.423,37.659,-18.127
-0.003,0.087,0.871,7.080,37.415,-21.545
0.011,0.065,0.843,-10.315,34.729,-26.367
0.025,0.037,0.851,-29.785,26.245,-30.457
0.041,0.013,0.887,-30.090,23.621,-29.358
0.060,0.009,0.958,-27.344,22.644,-27.100
0.061,0.045,0.970,-24.231,22.827,-24.292
0.064,0.064,0.958,-32.532,24.109,-24.719
0.070,0.043,0.939,-37.781,23.743,-25.879
0.072,0.058,0.952,-38.513,22.888,-25.879
0.079,0.077,0.969,-37.048,21.973,-26.306
0.088,0.080,0.972,-41.809,22.034,-27.588
0.103,0.036,0.963,-48.218,21.606,-28.137
0.111,0.027,0.950,-50.842,21.179,-26.794
0.112,0.047,0.923,-52.124,18.982,-21.606
0.099,0.146,0.903,-60.669,15.686,-20.813
0.095,0.187,0.905,-68.298,12.085,-22.644
0.103,0.200,0.918,-80.994,5.798,-30.640
0.118,0.185,0.937,-84.595,4.395,-33.936
