aX, aY, aZ, gX, gY, gZ
-0.402,0.975,0.013,-45.166,80.261,35.400
-0.419,0.979,-0.002,-25.818,96.313,30.945
-0.431,1.020,-0.023,-18.372,104.675,27.222
-0.484,1.127,-0.186,-12.207,112.183,20.996
-0.523,1.151,-0.285,-8.789,116.089,13.000
-0.556,1.161,-0.354,-12.329,112.183,-3.113
-0.583,1.195,-0.393,-16.724,106.873,-10.437
-0.598,1.211,-0.371,-21.362,101.440,-18.311
-0.612,1.195,-0.371,-21.423,94.299,-34.729
-0.609,1.167,-0.382,-18.799,89.478,-40.771
-0.576,1.168,-0.354,-17.578,84.778,-46.204
-0.564,1.161,-0.346,-17.090,82.092,-51.941
-0.552,1.150,-0.348,-19.409,80.811,-62.866
-0.532,1.134,-0.405,-20.142,80.383,-68.909
-0.533,1.112,-0.471,-19.409,78.552,-75.256
-0.532,1.107,-0.536,-24.597,60.913,-89.600
-0.507,1.057,-0.482,-32.104,54.199,-94.666
-0.458,1.067,-0.484,-38.208,61.035,-91.248
-0.453,1.094,-0.564,-41.992,64.636,-89.111
-0.431,1.054,-0.567,-43.152,44.250,-96.252
-0.352,1.059,-0.520,-44.983,34.912,-99.365
-0.312,1.047,-0.505,-45.593,27.100,-105.041
-0.272,1.035,-0.480,-40.649,8.850,-116.516
-0.235,1.038,-0.427,-36.438,2.869,-121.826
-0.240,0.986,-0.406,-31.677,1.770,-127.747
-0.249,0.894,-0.432,-26.611,3.052,-132.263
-0.240,0.816,-0.474,-16.968,4.150,-125.916
-0.177,0.771,-0.587,-14.771,0.793,-119.019
-0.126,0.807,-0.592,-16.541,-6.226,-112.427
-0.076,0.882,-0.574,-26.489,-21.301,-105.164
-0.048,0.931,-0.559,-28.259,-26.245,-107.056
-0.043,0.870,-0.537,-28.137,-29.785,-108.521
-0.024,0.869,-0.502,-29.358,-32.288,-107.544
-0.005,0.893,-0.485,-28.015,-30.640,-106.873
-0.012,0.844,-0.528,-22.156,-30.151,-107.727
-0.005,0.799,-0.545,-15.991,-31.860,-105.896
0.029,0.783,-0.536,-11.169,-38.452,-96.130
0.069,0.795,-0.514,-10.193,-39.734,-92.773
0.104,0.791,-0.523,-9.155,-40.466,-90.637
0.104,0.759,-0.541,-8.789,-42.603,-88.196
0.104,0.727,-0.561,-11.963,-50.781,-78.186
0.144,0.733,-0.535,-16.541,-56.580,-72.083
0.169,0.758,-0.510,-20.081,-62.012,-67.871
0.204,0.732,-0.478,-22.949,-71.289,-70.679
0.196,0.701,-0.433,-21.545,-73.120,-69.946
0.217,0.580,-0.401,-19.348,-69.824,-76.843
0.221,0.396,-0.464,-15.381,-66.406,-77.148
0.227,0.473,-0.459,-17.822,-80.139,-24.292
0.285,0.731,-0.344,-17.151,-82.336,-15.991
0.291,0.700,-0.377,-13.123,-77.332,-20.508
0.297,0.676,-0.398,-15.442,-77.942,-19.775
0.305,0.677,-0.358,-16.724,-80.994,-15.137
0.303,0.678,-0.270,-13.000,-80.200,-12.207
0.293,0.637,-0.282,-6.775,-76.843,-12.085
0.287,0.576,-0.316,3.906,-74.402,-10.681
0.312,0.541,-0.326,5.920,-76.233,-4.761
0.321,0.565,-0.319,6.714,-77.698,3.113
0.330,0.602,-0.298,5.249,-80.566,17.273
0.337,0.634,-0.258,5.493,-81.665,21.545
0.323,0.607,-0.200,6.775,-81.299,24.658
0.315,0.567,-0.185,6.714,-80.261,28.259
0.309,0.532,-0.171,4.761,-79.468,40.771
0.292,0.512,-0.182,4.272,-80.078,49.500
0.278,0.524,-0.187,2.991,-82.031,58.716
0.269,0.557,-0.161,-4.395,-89.966,76.599
0.269,0.609,-0.103,-7.080,-93.201,83.557
0.288,0.752,0.067,-7.568,-93.628,87.585
0.285,0.763,0.143,-5.127,-89.905,88.135
0.273,0.739,0.191,2.258,-76.721,88.989
0.242,0.727,0.196,7.141,-70.923,91.553
0.224,0.729,0.169,12.207,-66.833,94.177
0.196,0.730,0.125,13.733,-64.331,99.915
0.161,0.729,0.104,7.507,-65.125,104.675
0.116,0.774,0.181,-0.793,-63.171,110.779
0.109,0.835,0.223,-8.667,-57.556,116.333
0.108,0.909,0.257,-23.071,-42.358,119.751
0.120,1.018,0.261,-27.466,-34.119,118.286
