aX,aY,aZ,gX,gY,gZ
0.206,0.926,-0.094,-5.981,-7.812,4.150
0.209,0.936,-0.086,-5.310,-5.371,4.333
0.211,0.953,-0.143,-3.479,-3.662,3.662
0.205,0.943,-0.165,-1.465,-3.845,2.380
0.201,0.929,-0.178,-2.014,-7.507,1.648
0.200,0.934,-0.163,-4.456,-10.071,2.747
0.203,0.946,-0.145,-5.554,-12.207,3.601
0.203,0.946,-0.131,0.061,-12.817,2.808
0.197,0.937,-0.125,2.258,-12.024,2.869
0.168,0.926,-0.136,2.808,-11.719,3.418
0.160,0.935,-0.138,0.854,-12.329,4.028
0.165,0.953,-0.136,-3.967,-12.939,3.784
0.180,0.986,-0.140,-4.089,-12.573,3.052
0.182,0.994,-0.156,-3.540,-12.573,2.441
0.177,0.996,-0.174,-0.671,-15.686,1.526
0.165,0.999,-0.182,0.488,-18.921,0.732
0.159,0.994,-0.169,1.770,-22.339,-0.610
0.164,0.992,-0.142,0.366,-25.208,-1.770
0.170,0.983,-0.121,-2.319,-24.841,-3.784
0.174,0.942,-0.116,-4.578,-23.437,-3.723
0.179,0.944,-0.111,-7.751,-23.132,-2.014
0.190,0.960,-0.097,-9.644,-22.583,0.671
0.199,0.974,-0.092,-9.033,-20.874,0.061
0.219,0.978,-0.111,-8.728,-20.203,-1.160
0.225,0.973,-0.090,-9.521,-21.851,-2.075
0.226,0.967,-0.049,-8.179,-23.987,-3.479
0.230,0.941,-0.038,-7.812,-21.179,-4.028
0.239,0.942,-0.054,-9.155,-18.555,-3.662
0.247,0.951,-0.058,-9.216,-17.761,-2.625
0.256,0.953,-0.050,-7.935,-17.456,-3.235
0.257,0.927,-0.043,-8.789,-16.418,-3.845
0.253,0.915,-0.044,-9.766,-15.381,-3.784
0.251,0.904,-0.042,-9.277,-13.123,-2.930
0.262,0.915,-0.041,-11.108,-11.902,-1.648
0.265,0.932,-0.038,-12.756,-10.803,-0.793
0.264,0.934,-0.043,-12.878,-7.385,-2.625
0.262,0.928,-0.072,-13.245,-6.226,-2.869
0.270,0.946,-0.123,-13.000,-7.141,-2.747
0.272,0.946,-0.121,-12.512,-9.094,-3.479
0.268,0.928,-0.124,-8.911,-11.658,-5.371
0.254,0.893,-0.077,-6.653,-12.939,-4.944
0.250,0.888,-0.056,-6.409,-12.451,-3.662
0.251,0.901,-0.062,-5.371,-6.226,-0.549
0.260,0.925,-0.086,-3.235,-3.845,-0.488
0.276,0.963,-0.131,-1.465,-3.723,-1.465
0.273,0.962,-0.132,0.000,-5.188,-3.235
0.263,0.943,-0.120,1.282,-7.019,-6.531
0.253,0.916,-0.111,0.061,-6.775,-6.104
0.256,0.924,-0.101,-1.709,-7.202,-4.639
0.259,0.930,-0.080,-0.366,-6.775,-3.906
0.257,0.924,-0.070,0.610,-4.578,-4.395
0.248,0.903,-0.086,-0.671,-2.808,-3.906
0.250,0.919,-0.096,-3.357,-2.075,-2.258
0.257,0.941,-0.105,-4.822,-2.991,-0.916
0.264,0.964,-0.114,-4.028,-4.150,-2.075
0.260,0.958,-0.107,-2.380,-5.066,-3.784
0.254,0.942,-0.102,0.549,-3.662,-6.592
0.249,0.922,-0.103,1.038,-2.563,-6.531
0.247,0.898,-0.101,1.343,-2.136,-5.188
0.249,0.899,-0.095,1.160,-1.953,-3.174
0.248,0.902,-0.090,-0.061,-0.488,0.061
0.242,0.915,-0.112,-1.160,0.977,1.282
0.242,0.943,-0.145,-2.869,1.343,1.770
0.249,0.973,-0.166,-4.517,-5.066,-5.554
0.257,0.977,-0.162,-1.465,-8.484,-11.719
0.264,0.921,-0.129,1.526,-10.498,-15.076
0.264,0.914,-0.119,1.648,-11.230,-14.709
0.266,0.914,-0.117,1.770,-10.071,-10.681
0.262,0.892,-0.112,2.747,-8.789,-8.911
0.261,0.884,-0.112,3.113,-7.019,-7.019
0.263,0.890,-0.112,1.160,-4.333,-3.601
0.268,0.902,-0.107,0.916,-4.089,-2.930
0.273,0.916,-0.110,3.235,-4.578,-2.991
0.267,0.913,-0.112,6.653,-6.653,-3.906
0.260,0.905,-0.108,11.169,-14.343,-7.507
0.264,0.881,-0.079,11.230,-17.212,-8.850
0.274,0.877,-0.050,9.399,-17.334,-8.484
0.286,0.888,-0.032,3.540,-7.324,-3.296
0.290,0.905,-0.041,4.395,-0.793,-1.465
0.278,0.910,-0.095,6.836,2.625,-1.648
0.272,0.894,-0.098,7.751,2.502,-2.625
0.271,0.894,-0.104,7.812,-2.502,-1.404
0.284,0.927,-0.113,9.216,-7.812,-1.343
0.291,0.919,-0.080,10.864,-13.062,-2.441
0.289,0.895,-0.045,11.414,-11.414,-3.235
0.284,0.876,-0.033,11.963,-6.409,-1.770
