aX,aY,aZ,gX,gY,gZ
-0.315,0.739,-0.918,-6.409,0.610,-101.440
-0.307,0.655,-0.955,-0.854,-1.404,-104.065
-0.289,0.561,-0.954,-13.000,-15.442,-97.351
-0.243,0.504,-0.929,-24.597,-21.790,-88.562
-0.224,0.565,-0.927,-31.128,-27.100,-80.078
-0.218,0.618,-0.940,-28.931,-36.011,-74.341
-0.215,0.624,-0.956,-31.616,-42.114,-73.730
-0.210,0.589,-0.917,-35.339,-48.645,-71.899
-0.198,0.579,-0.905,-35.278,-53.711,-68.909
-0.167,0.573,-0.890,-23.499,-56.824,-64.270
-0.116,0.572,-0.886,-14.893,-54.443,-60.059
-0.094,0.623,-0.873,-8.911,-53.711,-55.237
-0.074,0.635,-0.823,-4.456,-57.251,-55.054
-0.084,0.576,-0.864,-2.747,-57.678,-55.908
-0.104,0.456,-0.967,0.427,-59.448,-55.603
-0.117,0.337,-1.071,3.845,-64.697,-50.598
-0.113,0.302,-1.121,-3.723,-86.792,-25.085
-0.073,0.464,-0.952,-14.282,-99.304,-13.245
-0.063,0.500,-0.845,-23.193,-107.910,-6.836
-0.063,0.448,-0.817,-28.381,-113.098,-1.038
-0.036,0.245,-0.811,-26.794,-116.760,6.104
0.012,0.221,-0.667,-28.809,-121.948,17.944
0.073,0.274,-0.439,-28.564,-120.178,43.152
0.151,0.410,-0.177,-21.240,-109.436,49.377
0.310,0.792,0.212,-12.756,-91.553,47.729
0.357,0.868,0.273,-5.127,-68.481,37.537
0.370,0.849,0.237,6.592,-17.944,9.460
0.321,0.710,-0.036,15.381,2.747,-0.122
0.286,0.646,-0.203,25.452,17.090,-4.578
0.263,0.635,-0.370,34.607,27.405,0.122
0.257,0.686,-0.488,28.503,23.682,3.906
0.261,0.858,-0.535,18.005,17.517,5.127
0.260,0.912,-0.510,7.568,11.719,2.808
0.260,0.932,-0.465,-1.465,6.287,-8.179
0.245,0.850,-0.467,3.113,8.789,-14.160
0.239,0.792,-0.517,11.047,12.085,-17.639
0.227,0.765,-0.590,27.893,17.578,-17.761
0.208,0.744,-0.687,32.898,17.151,-16.724
0.181,0.748,-0.848,34.058,12.695,-14.893
0.176,0.761,-0.895,33.752,6.042,-13.794
0.173,0.759,-0.932,31.372,-7.324,-14.526
0.157,0.666,-0.983,24.902,-13.611,-14.160
0.141,0.559,-1.046,14.709,-21.118,-11.963
0.134,0.434,-1.088,-19.409,-46.021,3.906
0.120,0.348,-1.136,-40.405,-60.303,18.555
0.094,0.252,-1.067,-58.838,-75.867,34.119
0.086,0.217,-0.947,-74.463,-89.355,50.476
0.085,0.200,-0.793,-88.135,-104.736,84.351
0.076,0.029,-0.542,-80.383,-104.736,100.220
0.063,-0.097,-0.484,-67.139,-100.830,118.164
0.048,-0.210,-0.449,-52.612,-91.431,165.649
0.042,-0.214,-0.345,-52.979,-87.891,194.092
0.046,0.276,0.153,-47.913,-78.125,216.980
0.048,0.611,0.364,-34.241,-57.678,226.685
0.052,0.877,0.451,-12.573,-1.099,209.229
0.047,1.069,0.293,-10.986,24.536,191.650
0.015,0.974,0.131,-13.977,45.166,173.462
-0.023,0.876,0.005,-25.085,67.688,150.696
-0.055,0.859,-0.061,-34.668,72.937,145.142
-0.115,1.053,0.005,-45.349,77.026,138.855
-0.143,1.202,0.093,-54.382,83.313,128.845
-0.180,1.301,0.167,-59.753,109.497,94.238
-0.280,1.349,0.130,-55.481,129.761,74.524
-0.328,1.355,-0.051,-47.119,152.527,55.054
-0.373,1.336,-0.313,-27.344,182.312,17.700
-0.414,1.304,-0.561,-26.123,181.580,3.479
-0.480,1.382,-0.758,-29.480,174.438,-8.179
-0.503,1.518,-0.845,-32.410,167.725,-21.484
-0.533,1.630,-1.013,-24.414,157.043,-64.209
-0.677,1.386,-1.334,-23.437,144.226,-86.365
-0.713,1.111,-1.382,-25.696,125.366,-97.900
-0.695,0.989,-1.362,-21.729,91.248,-89.661
-0.646,1.088,-1.293,-11.963,83.923,-87.952
-0.576,1.477,-1.210,3.845,82.947,-97.290
-0.562,1.576,-1.267,25.635,83.984,-116.455
-0.570,1.590,-1.393,70.068,80.078,-170.349
-0.709,1.055,-1.753,66.833,64.941,-194.031
-0.707,0.590,-1.774,41.504,34.119,-200.806
-0.610,0.370,-1.608,-25.879,-40.039,-153.076
-0.475,0.467,-1.334,-41.626,-60.181,-129.578
-0.308,0.901,-0.885,-43.091,-66.528,-122.742
-0.289,0.963,-0.790,-35.706,-64.087,-129.822
-0.301,0.869,-0.797,-2.625,-51.025,-156.616
-0.350,0.296,-0.981,5.188,-48.645,-158.875
-0.332,0.045,-1.093,2.014,-53.528,-150.391
-0.310,-0.124,-1.134,-5.005,-76.782,-101.685
-0.290,0.036,-1.146,-8.972,-91.309,-69.885
-0.252,0.372,-1.077,-10.498,-101.807,-55.664
-0.245,0.322,-1.115,-17.029,-109.924,-51.453
-0.220,0.274,-1.057,-58.289,-143.555,-30.457
-0.116,0.197,-0.689,-83.435,-155.884,-15.808
-0.058,0.109,-0.562,-98.267,-157.227,-1.221
0.017,0.102,-0.386,-87.646,-149.292,32.654
0.109,0.200,-0.118,-67.627,-135.254,43.213
0.244,0.490,0.195,-43.945,-109.863,45.288
0.261,0.503,0.092,-20.020,-79.651,41.138
0.272,0.478,-0.097,9.827,-38.696,37.415
0.296,0.744,-0.205,7.629,-32.104,37.903
0.300,0.862,-0.123,3.113,-27.527,32.349
0.300,0.880,-0.067,14.221,-8.362,9.705
0.292,0.812,-0.112,30.029,4.028,0.916
0.271,0.663,-0.386,41.687,11.658,-2.014
0.266,0.686,-0.432,43.518,12.207,-0.122
0.264,0.743,-0.403,33.569,6.836,3.723
0.266,0.796,-0.306,29.785,7.141,2.991
0.269,0.820,-0.302,28.687,10.803,1.465
0.264,0.837,-0.351,31.372,23.743,-4.822
0.255,0.825,-0.433,32.715,28.198,-7.507
0.248,0.808,-0.566,33.142,29.846,-8.728
0.247,0.823,-0.605,33.081,30.090,-9.766
0.243,0.833,-0.641,30.396,28.625,-13.550
0.221,0.813,-0.735,28.137,26.184,-15.442
0.216,0.770,-0.778,27.222,21.790,-16.418
0.200,0.757,-0.819,20.630,11.780,-11.841
0.187,0.794,-0.869,11.353,5.249,-11.841
0.189,0.805,-0.857,2.319,-1.038,-14.343
0.176,0.818,-0.905,-1.770,-4.211,-15.503
0.164,0.806,-0.947,0.000,-14.832,-17.883
0.136,0.670,-1.057,-1.282,-21.545,-17.883
0.125,0.579,-1.155,-7.568,-29.541,-14.954
0.120,0.545,-1.232,-31.982,-56.091,0.488
0.116,0.534,-1.239,-42.786,-73.181,8.118
0.111,0.423,-1.154,-50.354,-88.684,15.808
0.113,0.347,-1.100,-56.763,-102.478,25.330
0.110,0.274,-1.012,-66.040,-123.901,50.659
0.092,0.051,-0.786,-66.956,-129.211,66.589
0.096,-0.028,-0.611,-61.768,-131.226,86.731
0.090,-0.103,-0.425,-30.029,-118.896,130.920
0.071,-0.207,-0.270,-14.465,-105.591,156.128
0.042,-0.020,-0.023,-1.465,-89.539,182.861
0.029,0.222,0.089,12.085,-72.815,202.881
0.022,0.471,0.215,31.372,-40.894,214.050
0.008,0.680,0.338,34.058,-22.766,208.618
0.001,0.729,0.283,33.203,-6.042,203.064
-0.016,0.794,0.223,13.062,13.123,191.650
-0.046,0.850,0.221,-8.057,18.677,184.509
-0.113,1.114,0.369,-24.414,28.687,174.866
-0.153,1.162,0.413,-32.471,44.922,160.034
-0.196,1.134,0.405,-33.813,85.693,130.432
-0.275,1.157,0.213,-34.363,105.041,119.263
-0.319,1.272,0.084,-42.297,119.934,107.666
-0.359,1.368,-0.030,-68.970,132.568,75.073
-0.382,1.385,-0.133,-77.087,132.629,56.091
-0.400,1.264,-0.280,-81.177,131.042,37.659
-0.419,1.207,-0.284,-83.252,129.639,21.973
-0.446,1.250,-0.282,-85.327,136.230,-0.916
-0.521,1.470,-0.428,-83.618,142.517,-14.160
-0.560,1.540,-0.529,-78.125,147.400,-30.334
-0.611,1.504,-0.649,-60.059,156.006,-68.359
-0.658,1.435,-0.742,-52.917,158.875,-82.886
-0.734,1.434,-0.975,-43.396,162.964,-95.886
-0.757,1.358,-1.308,-32.898,165.833,-109.009
-0.740,1.326,-1.596,-36.072,135.498,-125.916
-0.657,1.457,-1.636,-41.077,106.873,-136.108
-0.633,1.490,-1.489,-40.771,80.627,-151.611
-0.644,1.451,-1.386,-32.043,50.232,-190.735
-0.679,1.255,-1.372,-25.330,41.748,-203.674
-0.675,0.554,-1.539,-19.958,32.166,-201.965
-0.600,0.398,-1.585,-20.508,15.930,-185.364
-0.511,0.602,-1.537,-27.710,-21.057,-146.362
-0.442,1.247,-1.324,-20.569,-33.997,-151.672
-0.470,1.260,-1.207,-4.211,-42.969,-174.011
-0.552,1.028,-1.206,32.593,-47.852,-225.037
-0.658,0.548,-1.289,37.292,-53.101,-225.769
-0.601,-0.101,-1.478,30.945,-66.406,-205.627
-0.529,-0.097,-1.475,27.832,-82.581,-174.683
-0.472,0.171,-1.394,51.147,-118.164,-111.389
-0.319,0.168,-1.001,68.237,-130.432,-104.797
-0.237,-0.065,-0.870,75.989,-135.681,-100.342
-0.144,-0.215,-0.650,66.040,-148.254,-63.965
-0.027,-0.265,-0.356,70.007,-143.982,-40.771
0.176,-0.113,0.145,78.491,-129.944,-19.043
0.260,0.010,0.343,83.557,-109.985,-2.563
0.319,0.119,0.454,74.585,-53.345,19.287
0.388,0.468,0.429,60.547,-27.527,33.936
0.380,0.681,0.325,47.058,-10.010,45.410
0.346,0.745,0.195,30.701,2.747,39.185
0.314,0.654,0.116,19.836,11.841,43.884
0.261,0.658,0.202,-5.981,39.490,59.631
0.197,0.653,0.094,-43.823,88.562,72.815
0.127,0.548,-0.175,-113.770,168.457,99.121
0.079,0.673,-0.447,-130.615,168.823,125.305
0.091,0.931,-0.377,-137.756,156.189,147.339
0.073,1.153,-0.335,-121.094,149.902,141.602
0.035,1.241,-0.482,-85.815,146.118,117.493
-0.108,1.129,-0.894,-59.265,117.737,87.097
-0.113,1.097,-0.818,-49.988,72.937,57.007
-0.073,1.048,-0.608,-38.269,27.527,16.541
-0.286,1.031,-0.149,-21.179,36.377,8.972
-0.249,1.036,-0.033,33.936,72.144,-0.549
-0.017,0.830,-0.665,105.652,161.682,-36.682
-0.042,0.647,-1.157,97.534,119.507,-34.790
-0.067,0.795,-0.741,66.406,64.697,-31.250
-0.033,0.792,-0.686,36.621,35.217,-38.696
-0.107,0.984,-0.793,-41.016,2.380,-56.885
-0.053,0.921,-0.548,-75.012,-14.648,-83.252
0.013,0.547,-0.474,-63.721,-12.329,-105.530
0.048,0.359,-0.508,-43.335,9.033,-55.176
0.020,0.423,-0.521,-53.711,7.080,-18.616
-0.101,0.651,-0.649,-61.401,7.141,4.211
-0.091,0.696,-0.758,-71.899,2.136,16.174
-0.031,0.732,-0.662,-74.158,-37.720,14.160
0.021,0.679,-0.384,-43.640,-41.260,5.493
0.040,0.565,-0.436,1.587,-29.480,-0.305
0.044,0.447,-0.485,84.106,-12.390,13.672
0.014,0.520,-0.496,95.154,-6.775,27.161
-0.055,0.935,-0.649,120.117,-0.244,24.170
-0.083,1.007,-0.557,161.804,3.723,6.470
-0.095,1.131,-0.481,165.649,20.996,-31.494
-0.125,1.309,-0.578,131.958,25.574,-57.739
-0.116,1.119,-0.728,86.060,22.095,-83.740
-0.115,1.021,-0.812,42.053,-17.578,-94.788
-0.081,1.039,-0.525,29.663,-31.799,-96.436
-0.047,0.995,-0.517,13.672,-27.954,-100.769
-0.009,0.816,-0.532,14.587,-21.667,-106.140
0.012,0.641,-0.565,100.403,-21.667,-88.074
0.038,0.763,-0.551,145.325,-26.855,-65.125
0.007,0.938,-0.577,186.462,-29.175,-48.584
-0.040,0.998,-0.665,177.734,-35.095,-42.419
-0.085,0.853,-0.764,83.862,-51.025,-33.142
-0.076,0.850,-0.731,-34.668,-72.937,-15.381
-0.085,0.889,-0.751,-184.875,-112.122,5.310
-0.123,0.887,-0.861,-229.431,-132.874,5.066
-0.149,0.559,-0.985,-284.668,-156.555,9.277
-0.143,0.308,-0.971,-328.674,-177.185,24.902
-0.126,0.062,-0.917,-307.129,-199.341,87.830
-0.010,0.055,-0.538,-267.395,-201.782,128.479
0.053,0.201,-0.302,-209.839,-197.510,156.738
0.083,0.182,-0.098,-66.101,-166.748,167.847
0.077,0.061,0.042,-14.404,-145.081,176.758
0.022,-0.004,0.179,19.043,-124.084,195.190
-0.001,0.118,0.204,42.297,-106.750,217.285
-0.006,0.329,0.309,64.636,-82.458,246.155
0.002,0.867,0.610,73.059,-63.538,247.192
-0.007,1.098,0.702,82.458,-36.377,238.281
-0.032,1.199,0.733,90.332,27.344,204.163
-0.070,1.189,0.727,85.327,56.396,191.956
-0.145,1.320,0.570,83.496,83.069,182.190
-0.193,1.386,0.438,87.830,106.934,166.870
-0.244,1.402,0.342,85.693,144.653,127.319
-0.339,1.286,0.335,72.815,158.020,111.877
-0.381,1.194,0.456,47.302,168.396,102.417
-0.417,1.217,0.627,-5.798,205.749,95.581
-0.468,1.468,0.652,15.259,240.112,79.956
-0.664,1.930,-0.025,72.754,267.944,44.067
-0.746,1.797,-0.267,117.798,273.987,2.686
-0.814,1.612,-0.414,94.604,244.324,-28.320
-0.902,1.597,-0.699,85.388,219.910,-28.198
-0.906,1.615,-0.645,112.183,193.420,-33.081
-0.886,1.565,-0.445,210.937,161.804,-49.194
-0.859,1.548,-0.179,230.408,164.429,-50.354
-0.861,1.826,-0.037,225.037,179.443,-50.415
-0.896,1.957,-0.243,198.059,193.420,-54.626
-0.921,2.028,-0.418,145.752,167.786,-75.684
-0.882,2.077,-0.314,135.681,140.076,-90.698
-0.836,2.037,-0.178,122.437,119.812,-108.887
-0.791,1.940,-0.054,84.473,106.445,-147.705
-0.759,1.795,0.009,52.368,108.215,-161.621
-0.755,1.461,-0.200,7.324,106.201,-168.945
-0.751,1.392,-0.315,-43.213,93.384,-171.020
-0.735,1.349,-0.382,-72.876,55.359,-182.861
-0.642,0.835,-0.551,-69.153,38.574,-188.660
-0.561,0.723,-0.526,-82.825,17.822,-181.763
-0.487,0.612,-0.535,-31.616,-3.784,-170.349
-0.430,0.437,-0.638,25.085,-19.958,-158.386
-0.234,0.364,-0.313,56.763,-37.170,-141.113
-0.126,0.304,-0.264,86.243,-40.955,-129.639
-0.031,0.174,-0.195,114.502,-52.673,-107.361
0.161,0.396,0.324,94.482,-59.387,-85.205
0.229,0.465,0.506,91.675,-50.781,-73.547
0.241,0.391,0.469,155.090,1.709,-66.895
0.204,0.299,0.242,151.733,13.977,-52.063
0.173,0.315,0.102,135.193,6.714,-32.654
0.200,0.276,0.168,118.469,-6.409,-12.512
0.223,0.339,0.271,90.393,-19.714,27.893
0.226,0.649,0.310,95.520,-14.160,29.114
0.246,0.717,0.272,98.572,-10.986,14.404
0.215,0.866,0.405,37.476,-39.429,-41.016
0.111,1.155,0.626,0.610,-45.349,-101.440
-0.018,1.472,0.859,16.846,-26.245,-186.401
-0.015,1.366,0.641,105.103,16.602,-281.067
0.192,0.138,0.574,213.379,102.417,-330.627
0.430,-0.553,0.413,154.602,131.836,-151.978
0.350,0.969,-0.348,108.337,119.873,10.986
0.294,1.541,-0.871,391.785,-108.337,-96.558
0.334,0.470,0.063,421.570,-199.707,-141.357
0.418,-0.340,2.017,268.188,-147.217,-53.772
0.453,0.721,1.270,80.688,-21.484,56.519
0.472,1.045,0.689,21.179,25.696,32.410
0.437,0.342,0.936,17.334,-0.977,7.263
0.437,0.434,0.883,-40.405,0.000,18.311
0.423,0.614,0.797,-104.431,3.906,31.128
0.391,0.438,0.571,-33.569,-13.794,38.696
0.303,0.469,0.178,80.994,-51.880,72.876
0.292,0.736,0.409,189.331,-99.731,98.816
0.300,0.671,0.760,314.087,-147.339,67.932
0.283,0.434,0.922,323.975,-142.761,56.458
0.235,0.446,0.866,325.500,-140.137,52.551
0.187,0.429,0.977,297.974,-148.743,41.199
0.145,0.430,1.196,251.465,-135.315,33.752
0.091,0.560,1.159,177.734,-110.657,19.897
0.071,0.570,0.971,88.928,-92.468,-3.540
0.052,0.520,0.875,-133.667,-97.229,-54.260
0.019,0.414,1.089,-210.937,-101.196,-68.665
0.013,0.363,1.119,-198.853,-91.736,-73.547
-0.000,0.407,1.053,-101.929,-63.049,-62.439
-0.027,0.547,1.025,-49.255,-55.603,-64.636
-0.058,0.600,0.925,15.564,-48.645,-74.219
-0.059,0.538,0.887,81.299,-44.739,-83.008
-0.036,0.423,0.871,126.099,-40.955,-90.515
0.010,0.245,0.915,106.384,-40.466,-85.815
-0.002,0.298,0.909,79.590,-38.391,-80.322
-0.041,0.433,0.871,57.434,-28.931,-89.966
