aX,aY,aZ,gX,gY,gZ
-0.303,-0.280,2.004,-287.476,120.300,114.624
-0.453,0.022,1.340,-416.748,156.494,138.062
-0.550,0.478,0.797,-517.395,146.423,141.235
-0.853,2.211,0.731,-373.901,121.033,100.769
-1.178,3.312,0.591,-159.729,124.878,15.991
-1.461,3.949,-0.614,129.211,260.193,-257.935
-1.413,3.825,-2.724,287.842,244.873,-377.624
-0.923,1.408,-4.000,366.028,34.241,-450.561
-1.129,-0.208,-2.138,285.156,-304.138,-461.243
-1.185,-2.091,0.987,14.465,-627.380,-296.570
-0.727,-2.912,4.000,-43.518,-524.902,-132.080
-0.707,-1.447,4.000,2.258,-297.180,-11.047
-0.599,-0.906,3.726,47.180,148.865,-85.327
-0.327,-1.408,2.802,52.124,205.872,-110.657
0.102,-1.126,1.005,99.487,207.153,-65.002
0.166,-0.369,0.397,132.629,192.566,0.244
0.208,0.117,0.129,91.797,131.592,53.345
0.275,0.199,0.239,73.364,93.567,54.932
0.250,0.191,0.510,74.402,59.143,58.716
0.193,0.254,0.743,89.722,26.794,69.458
0.136,0.299,0.859,94.238,23.621,67.993
0.056,0.283,0.963,118.408,21.729,64.880
0.006,0.351,1.026,175.903,20.508,62.683
-0.046,0.511,1.059,291.199,23.315,52.490
-0.093,0.795,0.995,286.682,27.161,34.668
-0.078,0.761,0.944,267.883,30.090,9.644
-0.053,0.620,0.978,203.857,25.757,-36.682
-0.032,0.462,1.062,151.489,30.518,-52.246
-0.000,0.231,1.051,91.125,42.053,-63.049
0.007,0.202,1.006,31.311,53.894,-68.787
0.007,0.237,0.950,-64.331,70.435,-72.632
0.017,0.333,0.802,-104.553,72.632,-77.881
0.022,0.410,0.725,-126.221,70.923,-87.769
0.025,0.431,0.608,-48.340,62.317,-123.840
0.029,0.343,0.553,9.094,53.589,-137.207
0.004,0.248,0.604,61.890,48.279,-143.799
-0.011,0.191,0.546,105.896,48.279,-152.466
0.009,-0.035,0.419,163.818,36.621,-175.293
0.114,-0.708,0.411,184.692,19.226,-170.105
0.133,-0.765,0.537,204.041,4.639,-150.757
0.141,-0.690,0.584,167.114,4.578,-123.047
0.208,-0.805,0.400,107.788,7.812,-122.070
0.240,-0.898,0.330,44.617,5.005,-118.225
0.256,-0.946,0.313,-4.028,-1.648,-108.765
0.256,-0.902,0.343,-29.541,-16.541,-79.834
0.198,-0.613,0.451,-31.738,-22.583,-70.740
0.164,-0.532,0.500,-33.325,-28.687,-69.763
0.147,-0.529,0.528,-34.241,-44.739,-79.163
0.148,-0.706,0.631,-46.143,-53.772,-81.482
0.141,-0.779,0.708,-57.129,-60.120,-77.209
0.121,-0.762,0.758,-54.871,-62.927,-65.796
0.089,-0.660,0.777,-10.132,-66.528,-43.640
0.036,-0.460,0.721,13.306,-68.970,-43.518
0.043,-0.479,0.619,25.208,-70.801,-49.744
0.073,-0.600,0.479,11.719,-79.041,-62.500
0.092,-1.052,0.372,-0.793,-90.698,-58.105
0.023,-1.127,0.558,2.441,-106.934,-40.527
-0.067,-1.006,0.779,36.743,-124.939,3.235
-0.141,-0.812,0.920,28.198,-124.634,9.338
-0.177,-0.753,1.097,2.747,-120.361,5.676
-0.143,-0.928,1.097,-19.104,-111.328,2.441
-0.122,-1.059,1.038,-11.780,-95.947,26.245
-0.182,-0.985,1.019,10.315,-96.436,47.729
-0.237,-0.870,1.091,28.076,-99.854,66.406
-0.284,-0.803,1.202,25.635,-102.234,82.886
