aX,aY,aZ,gX,gY,gZ
-0.424,-0.049,1.134,-4.456,3.662,59.082
-0.430,-0.017,1.134,-5.615,6.287,59.448
-0.432,0.008,1.131,-11.353,10.803,55.847
-0.428,0.008,1.130,-18.066,12.268,53.040
-0.411,-0.050,1.131,-24.170,14.587,50.903
-0.408,-0.050,1.108,-25.696,18.433,49.927
-0.405,-0.040,1.086,-18.127,26.611,47.363
-0.390,-0.049,1.081,-13.855,29.785,46.082
-0.383,-0.052,1.082,-12.695,32.532,45.959
-0.377,-0.050,1.076,-14.038,38.574,45.959
-0.370,-0.047,1.055,-13.550,41.809,45.227
-0.361,-0.024,1.018,-13.794,44.006,44.678
-0.357,-0.004,1.010,-15.503,45.105,44.373
-0.352,0.010,1.019,-22.949,44.678,42.786
-0.337,0.022,1.039,-26.917,44.983,41.687
-0.326,0.024,1.039,-28.015,46.143,40.405
-0.316,0.039,1.042,-21.606,49.683,38.330
-0.309,0.063,1.057,-20.386,52.307,36.682
-0.300,0.097,1.087,-23.682,55.359,34.302
-0.281,0.077,1.100,-31.311,57.800,31.006
-0.258,0.048,1.123,-43.457,64.880,25.879
-0.244,0.092,1.083,-42.114,71.777,24.780
-0.241,0.144,1.038,-38.635,77.087,23.132
-0.225,0.168,1.012,-31.860,78.064,16.052
-0.200,0.161,0.999,-25.696,76.965,12.329
-0.158,0.158,0.970,-20.081,76.233,9.155
-0.141,0.167,0.946,-18.738,75.745,5.676
-0.124,0.165,0.927,-22.034,72.144,-1.465
-0.100,0.170,0.935,-22.644,69.214,-3.357
-0.097,0.193,0.926,-22.705,66.406,-5.066
-0.091,0.203,0.914,-28.809,57.922,-12.817
-0.079,0.182,0.929,-33.936,53.406,-17.456
-0.229,-0.868,2.730,-75.134,121.826,114.014
-0.453,-0.368,2.509,-70.618,191.528,156.799
-0.547,0.044,1.936,-143.311,277.405,167.725
-0.402,0.186,1.353,-227.844,274.048,148.804
-0.396,0.293,1.351,-308.411,276.001,133.789
-0.566,0.225,1.002,-396.912,408.081,114.624
-0.858,0.300,-0.584,-335.632,501.526,139.160
0.086,2.910,-4.000,-124.146,462.585,157.043
0.672,4.000,-4.000,156.799,198.059,112.000
0.071,4.000,-4.000,333.984,-546.753,-202.942
-2.317,-0.689,-0.763,56.519,-741.272,-328.186
-2.668,-3.518,2.361,-400.940,-802.551,-245.422
-2.747,-2.655,4.000,-573.242,-532.593,343.506
-2.733,1.105,4.000,-282.715,-201.782,308.777
-1.226,1.815,3.900,-242.065,51.147,-13.733
-0.318,-0.221,3.841,-429.199,96.069,-272.461
0.052,-0.384,3.543,-316.528,123.291,-146.423
-0.013,1.106,0.966,-58.472,218.811,-71.899
0.121,0.816,0.000,36.255,260.193,-79.834
0.323,0.288,-0.197,-150.391,192.261,-92.896
0.418,0.105,0.024,-210.144,171.692,-58.594
0.247,0.582,0.008,-214.966,175.415,-28.748
0.170,0.741,-0.202,-209.778,179.749,-17.761
0.148,0.755,-0.371,-220.032,157.837,-27.405
0.189,0.620,-0.715,-228.821,137.939,-27.283
0.199,0.585,-0.737,-248.535,111.938,-18.494
0.211,0.599,-0.731,-263.306,66.650,7.812
0.206,0.569,-0.729,-246.460,49.744,21.057
0.159,0.608,-0.898,-240.723,33.203,36.926
0.137,0.684,-0.944,-237.061,12.878,47.852
0.145,0.678,-0.961,-199.036,-27.527,44.617
0.167,0.560,-0.839,-193.359,-47.729,44.128
0.147,0.605,-0.605,-178.894,-62.073,49.194
0.104,0.719,-0.468,-87.891,-50.598,59.753
0.057,0.852,-0.462,-63.782,-44.312,57.678
0.024,0.940,-0.495,-61.890,-44.861,51.819
0.022,0.943,-0.530,-67.017,-48.645,47.852
0.014,0.976,-0.553,-73.120,-64.819,49.072
-0.004,1.043,-0.440,-68.665,-75.195,50.110
-0.008,1.070,-0.312,-61.096,-82.886,50.476
-0.009,1.116,-0.193,-54.993,-81.299,44.678
-0.012,1.140,-0.210,-56.274,-75.989,35.950
0.021,0.987,-0.408,-62.500,-77.454,27.893
0.048,0.905,-0.433,-77.026,-84.534,26.001
0.067,0.864,-0.417,-120.422,-98.694,38.757
0.096,0.865,-0.371,-136.230,-101.624,46.204
0.120,0.821,-0.381,-150.208,-102.661,50.598
0.145,0.736,-0.404,-158.813,-101.013,58.533
0.163,0.658,-0.439,-134.521,-99.182,66.223
0.182,0.639,-0.334,-97.473,-96.985,73.792
0.182,0.714,-0.222,-67.688,-90.698,79.773
0.177,0.828,-0.159,-9.460,-63.110,73.364
0.158,0.785,-0.346,19.226,-49.744,61.096
0.155,0.692,-0.467,30.823,-45.349,54.199
0.160,0.612,-0.509,3.235,-61.646,64.941
0.164,0.561,-0.485,-22.888,-72.083,78.674
0.149,0.704,-0.196,-38.818,-76.843,91.736
0.133,0.861,-0.058,-33.569,-71.350,97.107
0.112,0.978,-0.034,5.432,-40.527,77.271
0.085,0.869,-0.303,9.399,-30.457,63.660
0.100,0.738,-0.379,1.526,-30.457,57.617
0.111,0.689,-0.343,-10.742,-41.443,69.946
0.102,0.759,-0.257,-6.531,-40.039,76.294
0.058,0.825,-0.258,5.066,-33.875,76.660
0.039,0.812,-0.299,16.846,-27.832,76.050
0.021,0.819,-0.326,30.396,-21.973,78.125
-0.001,0.861,-0.302,29.236,-21.851,77.820
0.004,0.854,-0.249,30.334,-21.790,75.806
0.015,0.835,-0.211,49.683,-15.015,71.960
0.021,0.820,-0.199,58.777,-10.193,70.923
0.017,0.781,-0.175,57.434,-7.080,71.228
0.019,0.771,-0.124,42.480,-6.531,73.303
0.016,0.773,-0.073,7.568,-2.930,79.041
-0.038,0.891,-0.070,5.127,3.174,80.383
-0.075,0.934,-0.140,10.681,10.437,78.491
-0.099,0.946,-0.184,9.888,17.029,72.693
-0.102,0.957,-0.168,1.404,18.005,71.289
-0.087,0.985,-0.021,0.122,20.203,68.848
-0.097,0.989,0.002,7.507,25.696,65.125
-0.132,0.991,-0.068,16.174,41.382,60.303
-0.226,1.079,-0.255,9.216,44.617,59.570
-0.260,1.123,-0.301,0.366,44.861,56.946
